Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Békéscsaba,Megyeszékhely,2014,"2,18","15,3",18,"788284,36","30,3","327,6","46,5","93,4",109,"94,58","620747,7","0,75","1508,35","61,66","48,06","7,71","3,15","1,33","86,45","11,47",,"197,9","3,82","99,82","64,6","48,35","97,37","73,76","18,2","9,53",100,"32,14",100,"294,34","53,54",100,100,"25,05","1,92",100,"96,72","8,24",0,"1,49",100,"23,7",5379,"329,68",100,0,"-5,44","29702,7",100,"28,5",9
Debrecen,Megyeszékhely,2014,"-2,27","16,2","22,9","841519,86","38,4","220,4","49,13","93,25",178,"59,72","461121,68","5,98","1393,88","45,99","44,42","129,17","2,85","0,3","85,8","5,64",,"117,83","5,42","99,27","43,22","46,61","153,99","41,87","14,6","1,26",100,"19,96",100,"317,15",0,100,100,"3,03","1,56",100,"54,72","14,09",0,"1,28",100,"6,87",103302,"311,21",100,0,"-1,42","347774,9",100,"29,1",8
Eger,Megyeszékhely,2014,"5,86","22,5","23,6","914918,71","68,6","355,7","50,99","94,95",149,"118,82","368645,38","1,48","1560,26","58,78","48,65","117,23","3,85","1,89","87,59","11,05",,"166,09","3,62","99,72","36,9","49,34","679,97","79,47","15,49","2,96",100,"6,45",100,"334,82","30,58",100,100,"3,92","1,32",100,"699,78","17,96",0,"1,28",100,"19,5",17125,"319,62",100,0,"-2,13",58775,100,"39,0",2
Győr,Megyeszékhely,2014,"4,54","25,6","20,7","1015160,15","31,9","331,4","132,86","95,54",209,"67,17","298814,19","6,2","1504,33","44,21","46,71","100,66","2,94","1,53","93,18","2,67",,"136,27","1,95","98,63","69,59","49,2","263,22","57,2","16,02","1,11",100,"4,86",100,"325,85","38,42",100,100,"15,39","1,47",100,"28,21","11,46",0,"1,39",100,"7,98","30883,5","347,22",100,0,"-1,53","108772,8",100,"36,0",4
Kaposvár,Megyeszékhely,2014,"-12,85","19,9","18,8","763896,39","32,3","272,3","39,62","96,5",126,"111,44","327285,28","1,44","1300,86","45,34","51,06","53,76","3,61","3,12","96,5","2,92",,"106,68","4,2","50,88","42,99","45,82","95,57","50,67","17,21","1,04",100,"2,78",100,"284,13","18,83",100,100,"12,49","1,43",100,"54,21","22,94",0,"1,73",100,"4,87","9346,3","339,37",100,0,"-3,56","32865,5",100,"20,0",15
Kecskemét,Megyeszékhely,2014,"-0,5",25,"18,8","872035,25","26,7","300,2","65,62","95,58",168,"95,44","449262,6","2,49","1471,53","40,68","46,36","33,42","3,31","0,82","68,37","6,55",,"121,96","3,97","98,7","21,43","47,44","127,1","48,55","18,71","1,91",100,"5,06",100,"282,04","9,66",100,100,"5,24","1,28",100,"104,99","15,79",0,"1,25",100,"38,56",16744,"355,14",100,0,"-0,92","60320,1",100,"25,3",12
Miskolc,Megyeszékhely,2014,"-1,99","29,9","19,9","778994,04","35,3","281,1","46,67","98,33",99,"82,54","497393,54","0,68","1276,43","44,19","49,34","62,58","3,07","0,95","92,86","3,76",,"105,23","5,72","99,2",57,"44,24","194,66","49,95","13,43","2,65",100,"25,23",100,"304,48","6,83",100,100,"5,68","1,13",100,"185,54","22,52",0,"1,38",100,"6,27","85882,6","278,91",100,0,"-6,48","291682,1",100,"23,1",14
Nyíregyháza,Megyeszékhely,2014,"-1,76","18,6","21,4","811521,75","42,2","302,1","52,97","99,48",148,"131,92","601192,2","1,72","1596,28","43,51","43,74","53,45","3,39","1,02","89,9","6,77",,"150,6","5,25",100,"42,85","48,4","145,54","61,46","18,44","1,63",100,"18,4",100,"290,87","11,26",100,100,"22,71","1,93",100,"95,45","19,75",0,"1,52",100,"11,35","22309,6","325,71",100,0,"-0,92","78801,2",100,"32,4",5
Pécs,Megyeszékhely,2014,"1,12","20,5","22,1","775675,8","39,4","308,4","43,69","97,45",131,"112,71","423939,14","1,37","1122,96","42,06","49,57","130,1","3,22","2,32","96,93","4,54",,"107,61","3,9","71,59","65,85","43,75","146,65","53,29","17,4","2,66",100,"8,87",100,"328,9","32,06",100,100,"15,15","1,21",100,"114,02","12,04",0,"1,37",100,"10,66",47242,"323,97",100,0,"-5,35","287556,9",100,"29,8",7
Salgótarján,Megyeszékhely,2014,"-8,68","24,5","14,9","691508,23","27,3","338,2","28,47","88,28",68,"118,17","224709,54","0,22","1278,96","51,38","51,63",0,"3,07","0,67","83,19","4,1",,"134,32","9,17","58,47","53,71","45,1","77,17","45,24","16,09","1,83",100,"10,11",100,"289,41","28,76",100,100,0,"0,92",100,"77,81","18,43",0,"2,51",100,"52,36","6271,5","289,13",100,0,"-8,55","21169,8",100,"13,0",18
Szeged,Megyeszékhely,2014,"3,21",18,24,"802641,87","26,7","195,4","45,84","97,29",150,"33,58","457572,71","1,85","1354,94","52,22","46,26","141,64","2,83","1,17","92,47","6,9",,"147,55","3,31","99,17","49,69","44,72","175,17","54,86","16,18","1,54",100,"4,13",100,"353,04",0,100,"93,88","3,73","1,64",100,"92,66","11,22",0,"1,29",100,"6,21","76798,8","294,14",100,0,"-2,47","281705,2",100,"27,7",10
Székesfehérvár,Megyeszékhely,2014,"0,14","14,3","22,3","1039031,42","38,2","975,6","113,18",100,164,"207,54","368176,21","1,45","1591,5","112,32","47,95","13,38","2,84","1,99","97,26","3,98",,"341,18","2,38","97,58","74,69","50,12","288,42","130,78","15,01","1,89",100,"1,79",100,"344,68",0,100,100,"12,88","1,38",100,"125,53","14,45",0,"1,32",100,"4,59","22993,9","375,58",100,0,"-2,61","83674,6",100,"42,9",1
Szekszárd,Megyeszékhely,2014,"-5,69","18,7","20,8","895060,29","29,6","127,6","57,47","95,86",128,"44,72","442962,3","1,32","1223,41","20,57","50,11","20,47","3,03","2,27","89,57","8,39",,"60,6","3,46",100,"61,63","47,81","14,06","17,33","18,9","5,32",100,"1,94",100,"315,81","29,97",100,100,"8,31","1,15",100,74,"29,43",0,"1,51",100,"40,84","3274,3","366,71",100,0,"-2,14","11297,7",100,"19,7",16
Szolnok,Megyeszékhely,2014,"-0,39","26,3","20,5","898860,33","30,5","285,2","53,9","94,41",113,"56,53","380104,1","1,3","1399,73","44,38","47,63","17,64","3,16","0,62","93,86","2,69",,"124,61","4,54",100,"47,49","49,31","111,17","47,26","19,58","1,27",100,"9,34",100,"286,1","21,71",100,100,"8,19","1,81",100,"79,08","17,79",0,"1,51",100,"7,98",18549,"297,39",100,0,"-2,6",64312,100,"25,3",11
Szombathely,Megyeszékhely,2014,7,"19,9","19,6","928048,01","30,2",314,"83,32","97,77",157,"50,68","388772,14","2,24","1366,07","36,99","48,6","34,33","2,57","1,54","97,32","4,01",,"108,78","2,13",100,"58,28","50,38","143,84","47,39","15,71","0,92",100,"4,29",100,"292,73","18,75",100,100,"0,17","2,05",100,"42,9","16,64",0,"1,67",100,"22,55","8418,2","372,15",100,0,"-3,59","37874,7",100,"30,0",6
Tatabánya,Megyeszékhely,2014,"1,16","14,2","12,6","875377,73","18,3","349,7","67,88","99,98",102,"76,37","343216,95","0,42","1391,48","37,13","46,85","6,75","2,55","12,49","96,63","4,48",,"82,65","3,39","98,78","78,05","47,6","29,7","28,45","16,7","3,11",100,"7,68",100,"322,78","11,68",100,100,0,"1,42",100,"26,43","12,07",0,"1,2",100,"14,58","13588,7","325,64",100,0,-4,"55475,3",100,"19,0",17
Veszprém,Megyeszékhely,2014,"3,26","12,8",23,"965556,3","30,7","320,5","75,48","95,02",179,"84,63","484272,28","2,6","1380,93","41,8","46,06","86,47","3,29","0,97","94,6","5,81",,"152,24","2,76","96,99","45,68","51,12","130,1","57,44","17,04","10,79",100,"11,47",100,"343,23","12,01",100,100,0,"0,94",100,"151,06","17,99",0,"1,65",100,"19,61","12934,5","333,93",100,0,"-1,28","52280,5",100,"36,7",3
Zalaegerszeg,Megyeszékhely,2014,"-1,96","11,9","18,6","894897,87","34,1",325,"54,87","86,64",133,"102,96","249418,83","1,31","1637,75","47,15","47,64","18,67","2,71","1,65","81,67","3,97",,"143,66","3,44","99,27","61,43","49,93","60,02","59,02","14,85","2,15",100,"3,26",100,"326,18","11,7",100,100,"7,78","1,37",100,"90,16","17,72",0,"2,2",100,"7,16","11412,2","353,18",100,0,"-4,01","32588,8",100,"23,7",13
Békéscsaba,Megyeszékhely,2022,"1,2","4,4","21,2","2208156,9","25,8","466,4","67,06","93,8",313,"318,4","190141,2","1,9","1530,3","38,7","58,3","4,9","3,3","1,7","88,9","6,2",,"128,7","2,9","99,8","68,9",53,"90,9","80,8","10,7",4,100,"19,8",100,"411,6","14,3",100,100,"33,3","1,7",100,"87,8","8,6",1,"0,5",100,"10,5","3445,9","443,9",100,93524,"-6,9","19641,6",100,"39,4",13
Debrecen,Megyeszékhely,2022,"-6,8","3,7","26,9","2471961,2","38,3","476,5","92,33","95,6",620,"198,5","37475,2","4,7","1482,2","30,6","50,3","133,2","2,9","0,3","88,4","7,5",,"74,9","2,7","99,3","45,4","52,1","218,2","42,3","8,1","1,7",100,"7,6",100,422,0,100,100,"11,9","1,2",100,"130,8","13,8","0,1","0,6",100,"5,1","76051,9","395,4",100,63913,"-2,9","260008,8",100,"44,1",7
Eger,Megyeszékhely,2022,"-3,3","12,5","27,4","2460363,4","83,2",378,"81,41","96,6",478,"87,6","71301,5","2,4","1471,1","46,4","57,2","112,6","4,2",2,"88,7","1,9",,"128,8","2,6",100,"38,2","53,7","686,7","86,8","8,2","1,7",100,"5,6",100,"454,1","23,6",100,100,"18,6",1,100,"805,8","19,8","2,6","0,8",100,"4,3","28292,4","415,4",100,58144,"-6,3",96455,100,"51,4",2
Győr,Megyeszékhely,2022,"-3,3","14,2","23,6","2839500,6","38,5","587,7","168,45","95,1",607,"121,1","37105,7","6,8","1645,8","44,9","51,1","88,6","2,8","1,5","93,2","1,7",,"117,3","0,9","81,8","82,6","54,2","291,1","56,9","8,6","1,2",100,"3,4",100,"410,1","30,3",100,100,"20,4","1,4",100,"42,2","11,4","1,4","0,9",100,"5,2","25263,6","445,1",100,161707,"-3,1","89668,1",100,"48,8",4
Kaposvár,Megyeszékhely,2022,"-4,3","7,3","21,8","2142961,1","35,6","344,6","70,86","92,8",384,"90,1","107122,7","0,9","1445,6","39,1",60,"42,3","3,7","3,3","92,9","2,2",,"88,6","2,3","51,2","43,6","50,5","77,2","54,5","14,9","1,7",100,"2,6",100,"370,6","22,4",100,100,"30,9",1,100,"140,6","21,7","3,4","0,8",100,"4,6","4766,8","432,5",100,68383,"-6,3",18907,100,"35,8",15
Kecskemét,Megyeszékhely,2022,"-3,5","11,4",22,"2564623,1","30,9","380,9","125,29","94,2",478,"115,4","83363,4","5,6",1524,"33,8","52,5","31,1","3,4","1,1","69,8","1,8",,"97,3","2,2","98,5",18,"54,2","176,9","49,5","8,2","1,2",100,"5,5",100,"378,6","10,7",100,100,"22,8",1,100,"54,3","16,3","3,6","0,5",100,"3,5",9425,"464,6",100,131789,-3,34119,100,"39,2",14
Miskolc,Megyeszékhely,2022,"-7,5","11,3","23,8","2225739,8","46,5","397,4","90,79","97,6",362,"84,8","93828,2","0,8","1200,4","34,6","55,6","60,1","3,2",1,"92,3",1,,"88,7","3,2","99,2","57,1","49,5","257,3","54,9","8,5",1,100,"6,9",100,"423,4","2,6",100,100,"22,1","0,9",100,"35,2","21,8","1,3","0,8",100,"2,8",63730,"387,9",100,128631,"-7,9","221556,5",100,"40,6",11
Nyíregyháza,Megyeszékhely,2022,"-1,5","8,4","25,1","2320714,3","43,5","499,7","89,42","98,9",434,"154,9","99936,9","8,7","1585,1","33,6","53,2","38,7","3,5","1,1","96,3","0,8",,"99,8",2,100,"50,9","52,7","338,5","62,7",15,"1,8",100,"10,9",100,"386,9","15,4",100,100,"39,4","1,7",100,"108,6","22,3","0,4","0,8",100,"5,5","13233,7","427,9",100,61076,-4,"46755,2",100,"47,1",5
