Település,Településtípus,Év,Rangsor
Békéscsaba,Megyeszékhely,2022,13
Debrecen,Megyeszékhely,2022,7
Eger,Megyeszékhely,2022,2
Győr,Megyeszékhely,2022,4
Kaposvár,Megyeszékhely,2022,15
Kecskemét,Megyeszékhely,2022,14
Miskolc,Megyeszékhely,2022,11
Nyíregyháza,Megyeszékhely,2022,5
Pécs,Megyeszékhely,2022,6
Salgótarján,Megyeszékhely,2022,18
Szeged,Megyeszékhely,2022,12
Székesfehérvár,Megyeszékhely,2022,1
Szekszárd,Megyeszékhely,2022,16
Szolnok,Megyeszékhely,2022,10
Szombathely,Megyeszékhely,2022,8
Tatabánya,Megyeszékhely,2022,17
Veszprém,Megyeszékhely,2022,3
Zalaegerszeg,Megyeszékhely,2022,9
Budapest 01. ker.,Kerület,2022,3
Budapest 02. ker.,Kerület,2022,9
Budapest 03. ker.,Kerület,2022,12
Budapest 04. ker.,Kerület,2022,14
Budapest 05. ker.,Kerület,2022,1
Budapest 06. ker.,Kerület,2022,2
Budapest 07. ker.,Kerület,2022,8
Budapest 08. ker.,Kerület,2022,7
Budapest 09. ker.,Kerület,2022,4
Budapest 10. ker.,Kerület,2022,13
Budapest 11. ker.,Kerület,2022,10
Budapest 12. ker.,Kerület,2022,6
Budapest 13. ker.,Kerület,2022,5
Budapest 14. ker.,Kerület,2022,11
Budapest 15. ker.,Kerület,2022,19
Budapest 16. ker.,Kerület,2022,17
Budapest 17. ker.,Kerület,2022,21
Budapest 18. ker.,Kerület,2022,18
Budapest 19. ker.,Kerület,2022,15
Budapest 20. ker.,Kerület,2022,20
Budapest 21. ker.,Kerület,2022,23
Budapest 22. ker.,Kerület,2022,16
Budapest 23. ker.,Kerület,2022,22
Érd,Város,2022,38
Sopron,Város,2022,10
Nagykanizsa,Város,2022,34
Dunakeszi,Város,2022,32
Hódmezővásárhely,Város,2022,40
Dunaújváros,Város,2022,28
Szigetszentmiklós,Város,2022,27
Cegléd,Város,2022,41
Mosonmagyaróvár,Város,2022,18
Vác,Város,2022,11
Baja,Város,2022,26
Gödöllő,Város,2022,3
Ózd,Város,2022,66
Hajdúböszörmény,Város,2022,51
Budaörs,Város,2022,1
Kiskunfélegyháza,Város,2022,47
Pápa,Város,2022,30
Esztergom,Város,2022,6
Szentendre,Város,2022,7
Gyula,Város,2022,21
Gyöngyös,Város,2022,20
Ajka,Város,2022,31
Kiskunhalas,Város,2022,53
Jászberény,Város,2022,14
Orosháza,Város,2022,43
Szentes,Város,2022,44
Gyál,Város,2022,63
Siófok,Város,2022,9
Kazincbarcika,Város,2022,33
Tata,Város,2022,2
Dunaharaszti,Város,2022,17
Hajdúszoboszló,Város,2022,25
Nagykőrös,Város,2022,64
Göd,Város,2022,62
Makó,Város,2022,37
Komló,Város,2022,59
Vecsés,Város,2022,24
Fót,Város,2022,35
Veresegyház,Város,2022,15
Hatvan,Város,2022,12
Gyömrő,Város,2022,52
Komárom,Város,2022,4
Várpalota,Város,2022,50
Törökszentmiklós,Város,2022,58
Monor,Város,2022,42
Karcag,Város,2022,55
Pomáz,Város,2022,60
Szigethalom,Város,2022,67
Oroszlány,Város,2022,54
Keszthely,Város,2022,23
Százhalombatta,Város,2022,5
Paks,Város,2022,8
Békés,Város,2022,61
Dabas,Város,2022,29
Pécel,Város,2022,57
Mohács,Város,2022,36
Dombóvár,Város,2022,48
Balmazújváros,Város,2022,65
Hajdúnánás,Város,2022,49
Mezőtúr,Város,2022,56
Mezőkövesd,Város,2022,39
Tiszaújváros,Város,2022,13
Budakeszi,Város,2022,16
Csongrád,Város,2022,45
Mátészalka,Város,2022,46
Biatorbágy,Város,2022,19
Sárvár,Város,2022,22
Kisvárda,Közepes település,2022,11
Törökbálint,Közepes település,2022,2
Abony,Közepes település,2022,121
Kalocsa,Közepes település,2022,56
Pilisvörösvár,Közepes település,2022,13
Szarvas,Közepes település,2022,16
Tapolca,Közepes település,2022,50
Berettyóújfalu,Közepes település,2022,43
Balassagyarmat,Közepes település,2022,17
Hajdúsámson,Közepes település,2022,165
Kistarcsa,Közepes település,2022,98
Mór,Közepes település,2022,8
Albertirsa,Közepes település,2022,142
Gárdony,Közepes település,2022,60
Kiskőrös,Közepes település,2022,61
Püspökladány,Közepes település,2022,97
Sátoraljaújhely,Közepes település,2022,35
Hajdúhadház,Közepes település,2022,182
Balatonfüred,Közepes település,2022,1
Üllő,Közepes település,2022,70
Maglód,Közepes település,2022,102
Tiszavasvári,Közepes település,2022,103
Újfehértó,Közepes település,2022,106
Bonyhád,Közepes település,2022,39
Gyomaendrőd,Közepes település,2022,108
Budakalász,Közepes település,2022,64
Nagykáta,Közepes település,2022,82
Halásztelek,Közepes település,2022,45
Pilis,Közepes település,2022,173
Kőszeg,Közepes település,2022,32
Kiskunmajsa,Közepes település,2022,114
Tiszakécske,Közepes település,2022,15
Lajosmizse,Közepes település,2022,147
Isaszeg,Közepes település,2022,105
Diósd,Közepes település,2022,48
Sárbogárd,Közepes település,2022,84
Dorog,Közepes település,2022,26
Nyírbátor,Közepes település,2022,22
