Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Békéscsaba,Megyeszékhely,2022,"1,2","4,4","21,2","2208156,9","25,8","466,4","67,06","93,8",313,"318,4","190141,2","1,9","1530,3","38,7","58,3","3,3","1,7","6,2","128,7","2,9","99,8","68,9",53,"90,9","80,8","10,7","19,8","411,6","14,3","33,3",1,"443,9","39,4",13
Debrecen,Megyeszékhely,2022,"-6,8","3,7","26,9","2471961,2","38,3","476,5","92,33","95,6",620,"198,5","37475,2","4,7","1482,2","30,6","50,3","2,9","0,3","7,5","74,9","2,7","99,3","45,4","52,1","218,2","42,3","8,1","7,6",422,0,"11,9","0,1","395,4","44,1",7
Eger,Megyeszékhely,2022,"-3,3","12,5","27,4","2460363,4","83,2",378,"81,41","96,6",478,"87,6","71301,5","2,4","1471,1","46,4","57,2","4,2",2,"1,9","128,8","2,6",100,"38,2","53,7","686,7","86,8","8,2","5,6","454,1","23,6","18,6","2,6","415,4","51,4",2
Győr,Megyeszékhely,2022,"-3,3","14,2","23,6","2839500,6","38,5","587,7","168,45","95,1",607,"121,1","37105,7","6,8","1645,8","44,9","51,1","2,8","1,5","1,7","117,3","0,9","81,8","82,6","54,2","291,1","56,9","8,6","3,4","410,1","30,3","20,4","1,4","445,1","48,8",4
Kaposvár,Megyeszékhely,2022,"-4,3","7,3","21,8","2142961,1","35,6","344,6","70,86","92,8",384,"90,1","107122,7","0,9","1445,6","39,1",60,"3,7","3,3","2,2","88,6","2,3","51,2","43,6","50,5","77,2","54,5","14,9","2,6","370,6","22,4","30,9","3,4","432,5","35,8",15
Kecskemét,Megyeszékhely,2022,"-3,5","11,4",22,"2564623,1","30,9","380,9","125,29","94,2",478,"115,4","83363,4","5,6",1524,"33,8","52,5","3,4","1,1","1,8","97,3","2,2","98,5",18,"54,2","176,9","49,5","8,2","5,5","378,6","10,7","22,8","3,6","464,6","39,2",14
Miskolc,Megyeszékhely,2022,"-7,5","11,3","23,8","2225739,8","46,5","397,4","90,79","97,6",362,"84,8","93828,2","0,8","1200,4","34,6","55,6","3,2",1,1,"88,7","3,2","99,2","57,1","49,5","257,3","54,9","8,5","6,9","423,4","2,6","22,1","1,3","387,9","40,6",11
Nyíregyháza,Megyeszékhely,2022,"-1,5","8,4","25,1","2320714,3","43,5","499,7","89,42","98,9",434,"154,9","99936,9","8,7","1585,1","33,6","53,2","3,5","1,1","0,8","99,8",2,100,"50,9","52,7","338,5","62,7",15,"10,9","386,9","15,4","39,4","0,4","427,9","47,1",5
Pécs,Megyeszékhely,2022,"-6,5","7,9","25,7","2160012,4","40,8","342,5","80,27","99,3",492,"48,8","55161,8","3,1","1205,4","35,7","53,3","3,5","2,3","1,5","91,5","1,7","71,7","65,9","48,2","180,7","55,2","8,5",7,"429,1","34,4","20,1","0,5","403,8","44,5",6
Salgótarján,Megyeszékhely,2022,"-10,7","18,4","17,8",1959413,"28,5","376,4","45,48","91,4",181,"57,8","139563,5","0,1","1419,2",40,"60,3","2,9","0,8","2,6","116,9","5,2","58,5",58,"49,7",94,"51,9","8,4","5,8","403,7","5,8","6,4","3,7","419,1","22,6",18
Szeged,Megyeszékhely,2022,"-8,5","4,9",28,"2421824,4","30,2","279,8","71,31","94,3",553,"62,2","59196,9",11,"1484,4","43,8","50,9",3,"1,2","2,3","112,5","1,1","99,3","48,4","51,4","270,7","56,2","10,7","3,2","446,8",0,"17,1","0,5","381,2","39,8",12
Székesfehérvár,Megyeszékhely,2022,"-0,5","7,7","25,5","2876356,5",44,657,"242,6","95,3",601,"190,2","72733,1","8,3","1682,7","31,3","56,9","2,8","2,3","2,2","94,8","1,4","97,6","75,1","54,7","257,9",45,10,"1,8","432,2","13,3","20,7",6,"471,4","53,9",1
Szekszárd,Megyeszékhely,2022,"-8,1","11,9","24,1","2405941,6","30,7","340,9","85,55","87,7",378,"77,4","67637,4","0,5","1431,3","47,2","61,7","3,3","2,2","15,1","139,7","2,4",100,"67,8","50,8","83,6","56,9","10,4",3,"416,8","41,9","14,3","0,7","472,7","31,1",16
Szolnok,Megyeszékhely,2022,"-3,2","10,5","23,5","2522881,1","33,1","511,3","94,78","92,9",373,"139,6","76423,5","3,8","1459,3","33,8",56,"3,3","0,7","4,1",102,"2,8",100,"47,5","53,8","66,6","51,2","11,3","9,3","411,2","23,7","14,1",1,"401,2","41,3",10
Szombathely,Megyeszékhely,2022,"1,8","8,1","22,1","2516341,7","36,9","348,4","118,28","99,9",467,"36,8","37753,3","5,8","1600,9","29,4","53,8","2,5","1,6","4,5","93,2","1,7",100,"58,4","53,7","112,9",47,"8,8","4,1","412,3","19,9",3,"9,1","455,6","42,1",8
Tatabánya,Megyeszékhely,2022,"-3,6","7,4",15,"2581052,4","18,5","355,4","113,98","98,1",453,"67,2","57824,1","1,2","1646,9","31,9","50,1","2,6","12,6","3,6","65,3","1,6","98,8","78,2","55,3","38,2","28,8","9,8","4,8","402,5","12,8","7,1","0,8","423,4","28,8",17
Veszprém,Megyeszékhely,2022,"-10,6","5,2","26,7","2719937,9","38,3","841,3","156,3","94,5",657,"434,5","95036,2","4,3","1351,8","37,9","52,8","3,3","1,7","1,7","116,9","1,4","96,8","51,1","55,7","228,4","61,5","7,4","6,5","425,6","27,1","8,8","0,1","440,3","49,8",3
Zalaegerszeg,Megyeszékhely,2022,"0,1","6,3","21,6","2423920,8","37,2","628,2","97,31","92,7",416,"188,5","105625,1","2,6","1788,2","35,7","57,6","2,7","1,7","2,6","113,7","1,9","98,5","63,9","54,7","122,5","62,8","10,2","3,6","425,7","11,5","24,9","0,7","470,1","41,4",9
Budapest 01. ker.,Kerület,2022,-4,"13,8","51,7",3443712,"136,8",468,"105,84",,1095,"72,4",,0,"1003,9","33,2","58,9","3,3","0,4",7,"84,7","0,9",100,"98,1","51,7","1659,8","92,6","7,6","4,3",,"30,3",,"0,5","473,1","49,7",3
Budapest 02. ker.,Kerület,2022,"-4,5","9,7","51,2","3991585,3","53,3","338,4","99,38",,1138,"56,3",,"1,1","1349,5","35,8","69,7","2,6","0,1","1,1","74,5","0,8",100,"84,9","49,8","388,7","46,9","2,3","4,8",,"12,2",,"0,3","445,1","41,8",9
Budapest 03. ker.,Kerület,2022,"-6,7","7,5","35,5","3224104,7","35,9","271,8","96,73",,860,"25,6",,"13,5","1479,2",34,"56,5","2,7","0,5",1,"66,2","1,3",100,"87,7","53,8","140,7","34,4","6,4",3,,"8,4",,2,"452,2","36,8",12
Budapest 04. ker.,Kerület,2022,"-3,4","5,7","27,9","2898591,4","35,2","241,5","107,32",,723,"32,9",,"5,8","1526,6","33,7","50,5","2,4","1,2","0,4","65,3","1,4",100,100,55,"245,7","26,4","5,6","0,8",,"8,3",,"0,5","353,5","33,7",14
Budapest 05. ker.,Kerület,2022,"-4,2","45,4","46,7",3342806,"196,3","1715,5","99,494",,1228,"412,5",,0,"1067,9","72,8","42,9","5,1","0,1","7,7","280,1","0,7",100,100,"51,1","7479,1","302,6","3,8","5,8",,"42,6",,0,"779,6","59,8",1
Budapest 06. ker.,Kerület,2022,"-0,8","37,7","43,1","2880482,2",49,"431,1","119,4",,947,"85,6",,"3,9","1055,6","75,8","34,6","4,6","0,2","2,8","371,8","1,6",100,100,"50,5","3311,2","223,6","5,8","3,5",,"13,5",,"0,7","516,7","51,1",2
Budapest 07. ker.,Kerület,2022,"-2,7","31,1","37,7","2526225,8",47,"438,1","110,74",,862,32,,"1,1",1203,"65,3","32,9","2,8","0,1","0,6","173,3","1,1",100,100,"51,7","2469,7","182,7","4,2",7,,"10,1",,"1,3","318,2","42,6",8
Budapest 08. ker.,Kerület,2022,"-3,3","28,5","33,7","2528677,6","35,8","414,5","90,86",,776,"45,7",,"7,2","1226,6","61,2","32,4","4,1","0,2","0,8","280,5","1,6",100,"99,6","52,6",1122,"86,7","4,4","2,5",,"10,4",,"1,1","300,6","43,1",7
Budapest 09. ker.,Kerület,2022,"1,3","17,7","40,3","3301806,2","59,8",431,"103,93",,855,"41,7",,"18,6","1531,7","82,6","36,1","4,1","0,5","0,1","146,4","1,5",100,"95,9","54,8","1595,5","116,3","4,8",3,,0,,"5,2","370,8","49,1",4
