Település,Településtípus,2022-es helyezés a rangsorban,2022-es Indexpontszám,rangsor2014,index2014,Rangsor helyezés változása 2014-hez képest,Indexpontszám változása 2014-hez képest
Békéscsaba,Megyeszékhely,13,"39,4",9,"28,5",-4,"-10,9"
Debrecen,Megyeszékhely,7,"44,1",8,"29,1",1,-15
Eger,Megyeszékhely,2,"51,4",2,39,0,"-12,4"
Győr,Megyeszékhely,4,"48,8",4,36,0,"-12,8"
Kaposvár,Megyeszékhely,15,"35,8",15,20,0,"-15,8"
Kecskemét,Megyeszékhely,14,"39,2",12,"25,3",-2,"-13,9"
Miskolc,Megyeszékhely,11,"40,6",14,"23,1",3,"-17,5"
Nyíregyháza,Megyeszékhely,5,"47,1",5,"32,4",0,"-14,7"
Pécs,Megyeszékhely,6,"44,5",7,"29,8",1,"-14,7"
Salgótarján,Megyeszékhely,18,"22,6",18,13,0,"-9,6"
Szeged,Megyeszékhely,12,"39,8",10,"27,7",-2,"-12,1"
Székesfehérvár,Megyeszékhely,1,"53,9",1,"42,9",0,-11
Szekszárd,Megyeszékhely,16,"31,1",16,"19,7",0,"-11,4"
Szolnok,Megyeszékhely,10,"41,3",11,"25,3",1,-16
Szombathely,Megyeszékhely,8,"42,1",6,30,-2,"-12,1"
Tatabánya,Megyeszékhely,17,"28,8",17,19,0,"-9,8"
Veszprém,Megyeszékhely,3,"49,8",3,"36,7",0,"-13,1"
Zalaegerszeg,Megyeszékhely,9,"41,4",13,"23,7",4,"-17,7"
Budapest 01. ker.,Kerület,3,"49,7",1,"40,6",-2,"-9,1"
Budapest 02. ker.,Kerület,9,"41,8",8,"27,8",-1,-14
Budapest 03. ker.,Kerület,12,"36,8",11,"23,9",-1,"-12,9"
Budapest 04. ker.,Kerület,14,"33,7",13,"21,8",-1,"-11,9"
Budapest 05. ker.,Kerület,1,"59,8",2,"34,6",1,"-25,2"
Budapest 06. ker.,Kerület,2,"51,1",3,"32,1",1,-19
Budapest 07. ker.,Kerület,8,"42,6",5,"31,1",-3,"-11,5"
Budapest 08. ker.,Kerület,7,"43,1",10,"24,1",3,-19
Budapest 09. ker.,Kerület,4,"49,1",4,"31,9",0,"-17,2"
Budapest 10. ker.,Kerület,13,"33,8",16,"20,2",3,"-13,6"
Budapest 11. ker.,Kerület,10,"41,3",12,"23,7",2,"-17,6"
Budapest 12. ker.,Kerület,6,"44,4",6,"28,6",0,"-15,8"
Budapest 13. ker.,Kerület,5,"45,4",7,"28,6",2,"-16,8"
Budapest 14. ker.,Kerület,11,"40,5",9,"24,9",-2,"-15,6"
Budapest 15. ker.,Kerület,19,"28,1",17,"19,4",-2,"-8,7"
Budapest 16. ker.,Kerület,17,30,19,"18,5",2,"-11,5"
Budapest 17. ker.,Kerület,21,"23,1",21,"15,4",0,"-7,7"
Budapest 18. ker.,Kerület,18,"28,4",18,19,0,"-9,4"
Budapest 19. ker.,Kerület,15,"31,8",15,"21,4",0,"-10,4"
Budapest 20. ker.,Kerület,20,26,22,"14,9",2,"-11,1"
Budapest 21. ker.,Kerület,23,"21,5",20,"16,9",-3,"-4,6"
Budapest 22. ker.,Kerület,16,"31,8",14,"21,4",-2,"-10,4"
Budapest 23. ker.,Kerület,22,"22,3",23,"13,6",1,"-8,7"
Érd,Város,38,"29,3",40,"20,6",2,"-8,7"
Sopron,Város,10,"37,3",5,"29,4",-5,"-7,9"
Nagykanizsa,Város,34,"30,6",23,"24,1",-11,"-6,5"
Dunakeszi,Város,32,"30,7",31,"21,9",-1,"-8,8"
Hódmezővásárhely,Város,40,"28,8",33,"21,4",-7,"-7,4"
Dunaújváros,Város,28,32,26,"23,7",-2,"-8,3"
Szigetszentmiklós,Város,27,32,18,"24,5",-9,"-7,5"
Cegléd,Város,41,"28,7",49,"17,6",8,"-11,1"
Mosonmagyaróvár,Város,18,"33,8",7,"27,9",-11,"-5,9"
Vác,Város,11,"36,8",17,"24,6",6,"-12,2"
Baja,Város,26,"32,4",30,"22,4",4,-10
Gödöllő,Város,3,41,3,"31,8",0,"-9,2"
Ózd,Város,66,"17,8",66,"9,9",0,"-7,9"
Hajdúböszörmény,Város,51,"25,7",42,20,-9,"-5,7"
Budaörs,Város,1,"47,7",2,"31,9",1,"-15,8"
Kiskunfélegyháza,Város,47,"26,3",61,"14,2",14,"-12,1"
Pápa,Város,30,"31,1",22,"24,1",-8,-7
Esztergom,Város,6,"39,5",9,"27,1",3,"-12,4"
Szentendre,Város,7,"39,2",12,"26,2",5,-13
Gyula,Város,21,33,11,"26,7",-10,"-6,3"
Gyöngyös,Város,20,"33,5",15,"25,3",-5,"-8,2"
Ajka,Város,31,31,34,"21,3",3,"-9,7"
Kiskunhalas,Város,53,"25,5",51,"16,4",-2,"-9,1"
Jászberény,Város,14,"35,2",13,"25,7",-1,"-9,5"
Orosháza,Város,43,"28,4",20,"24,3",-23,"-4,1"
Szentes,Város,44,"27,8",35,"21,3",-9,"-6,5"
Gyál,Város,63,"20,3",64,"12,6",1,"-7,7"
Siófok,Város,9,"37,5",28,"23,3",19,"-14,2"
Kazincbarcika,Város,33,"30,7",38,"20,7",5,-10
Tata,Város,2,41,4,"29,6",2,"-11,4"
Dunaharaszti,Város,17,"33,8",27,"23,3",10,"-10,5"
Hajdúszoboszló,Város,25,"32,5",21,"24,2",-4,"-8,3"
Nagykőrös,Város,64,"20,2",62,"14,1",-2,"-6,1"
Göd,Város,62,"20,3",55,"15,2",-7,"-5,1"
Makó,Város,37,"29,4",37,"20,8",0,"-8,6"
Komló,Város,59,"22,1",63,"13,9",4,"-8,2"
Vecsés,Város,24,"32,6",32,"21,8",8,"-10,8"
Fót,Város,35,"30,5",44,19,9,"-11,5"
Veresegyház,Város,15,35,19,"24,3",4,"-10,7"
Hatvan,Város,12,"36,7",10,"26,9",-2,"-9,8"
Gyömrő,Város,52,"25,6",53,"15,5",1,"-10,1"
Komárom,Város,4,"40,9",25,"23,9",21,-17
Várpalota,Város,50,"25,8",45,"18,8",-5,-7
Törökszentmiklós,Város,58,"22,5",56,"14,9",-2,"-7,6"
Monor,Város,42,"28,4",58,"14,5",16,"-13,9"
Karcag,Város,55,"24,9",60,"14,3",5,"-10,6"
Pomáz,Város,60,"21,4",65,"12,4",5,-9
Szigethalom,Város,67,"15,5",67,"9,3",0,"-6,2"
Oroszlány,Város,54,"25,2",46,"18,7",-8,"-6,5"
Keszthely,Város,23,"32,6",8,"27,4",-15,"-5,2"
Százhalombatta,Város,5,"40,7",6,"28,7",1,-12
Paks,Város,8,"37,9",1,"32,3",-7,"-5,6"
Békés,Város,61,"20,6",59,"14,4",-2,"-6,2"
Dabas,Város,29,"31,1",48,"18,4",19,"-12,7"
Pécel,Város,57,23,54,"15,2",-3,"-7,8"
Mohács,Város,36,"29,5",41,"20,1",5,"-9,4"
Dombóvár,Város,48,"26,1",43,"19,8",-5,"-6,3"
Balmazújváros,Város,65,"19,5",57,"14,6",-8,"-4,9"
Hajdúnánás,Város,49,"26,1",50,"16,9",1,"-9,2"
Mezőtúr,Város,56,23,52,"15,5",-4,"-7,5"
Mezőkövesd,Város,39,"29,3",36,"21,1",-3,"-8,2"
Tiszaújváros,Város,13,"36,4",24,24,11,"-12,4"
Budakeszi,Város,16,"34,2",14,"25,4",-2,"-8,8"
Csongrád,Város,45,27,47,"18,6",2,"-8,4"
Mátészalka,Város,46,"26,8",29,"23,1",-17,"-3,7"
Biatorbágy,Város,19,"33,6",39,"20,6",20,-13
Sárvár,Város,22,"32,7",16,"24,7",-6,-8
Kisvárda,Közepes település,11,"28,9",7,"22,5",-4,"-6,4"
Törökbálint,Közepes település,2,"36,4",5,"23,2",3,"-13,2"
Abony,Közepes település,121,"18,1",155,"12,3",34,"-5,8"
Kalocsa,Közepes település,56,"24,2",55,"18,2",-1,-6
Pilisvörösvár,Közepes település,13,"28,5",44,"18,7",31,"-9,8"
Szarvas,Közepes település,16,"28,1",24,"20,2",8,"-7,9"
Tapolca,Közepes település,50,"24,6",61,"17,9",11,"-6,7"
Berettyóújfalu,Közepes település,43,"25,2",37,"19,3",-6,"-5,9"
Balassagyarmat,Közepes település,17,28,11,"22,1",-6,"-5,9"
Hajdúsámson,Közepes település,165,"14,7",170,"10,8",5,"-3,9"
Kistarcsa,Közepes település,98,"20,1",81,"16,4",-17,"-3,7"
Mór,Közepes település,8,"30,1",13,22,5,"-8,1"
Albertirsa,Közepes település,142,17,150,"12,6",8,"-4,4"
